Area,Record_Count,Mean_Change,Median_Change,Std_Deviation,Min_Change,Max_Change,Skewness,Range,Coefficient_of_Variation,Region,Climate_Risk_Score,Risk_Category,Cluster,Country,Temp_Volatility_Ratio,Extreme_Event_Indicator,Trend_Acceleration,Region_Factor,Advanced_Impact_Score,Analysis_Date,Risk_Level,High_Variability,Extreme_Change
Niger,187,1.0657,1.072,0.9052,-2.478,3.568,-0.3235,6.046,0.8493947640048793,West Africa,0.6429275242670762,High,4,Niger,0.8485984812974595,1,-0.0610421824985511,1.2,0.516852405888726,2025-08-03T19:02:30.646628,High,0,0
Botswana,187,1.0645,1.065,0.9642,-1.608,3.509,-0.0931,5.117,0.9057773602630342,Southern Africa,0.6327786137274245,High,4,Botswana,0.9049272641952136,1,0.0104431797502377,1.1,0.4286291080790576,2025-08-03T19:02:30.646628,High,0,0
United Republic of Tanzania,187,1.0635,1.049,0.3525,0.341,2.138,0.3271,1.797,0.3314527503526093,Other/Islands,0.272968877974259,Low,1,United Republic of Tanzania,0.3311413809300141,0,-0.0979835061939887,1.0,0.4269477032617585,2025-08-03T19:02:30.646628,Low,0,0
Burkina Faso,187,1.0482,1.037,0.6307,-0.963,3.046,0.0354,4.009,0.6016981492081664,West Africa,0.4547637336659789,Moderate,0,Burkina Faso,0.6011246664125048,0,-0.0664093024449215,1.2,0.4694432441521036,2025-08-03T19:02:30.646628,Moderate,0,0
Sao Tome and Principe,183,1.0449,1.005,0.41,0.001,2.326,0.4424,2.325,0.3923820461288161,Other/Islands,0.3064479809077091,Low,1,Sao Tome and Principe,0.3920068840233292,0,0.0098430617934561,1.0,0.3056594241673717,2025-08-03T19:02:30.646628,Low,0,0
Angola,187,1.0423,1.116,0.5988,-0.702,2.496,-0.5253,3.198,0.5744987047874892,Southern Africa,0.4108779938973622,Moderate,1,Angola,0.5739480494584492,0,0.0369233289997705,1.1,0.4063875562212627,2025-08-03T19:02:30.646628,Moderate,0,0
Congo,187,1.0387,1.045,0.387,0.138,1.939,-0.1029,1.8010000000000002,0.3725811110041398,Central Africa,0.276127099043902,Low,1,Congo,0.3722227565643936,0,0.0085684140594985,1.0,0.2970210733453409,2025-08-03T19:02:30.646628,Low,0,0
Uganda,187,1.0305,1.02,0.4697,-0.937,2.373,-0.4148,3.3100000000000005,0.4557981562348375,East Africa,0.3587991944715269,Low,1,Uganda,0.4553562772661174,0,-0.005782414119412,1.1,0.318143327066857,2025-08-03T19:02:30.646628,Low,0,0
Eswatini,184,1.0252,1.083,0.7721,-1.271,3.148,-0.1707,4.4190000000000005,0.7531213421771362,Southern Africa,0.5153201104594958,Moderate,4,Eswatini,0.7523874488403821,0,-0.0150551847794644,1.1,0.3965493364042954,2025-08-03T19:02:30.646628,Moderate,0,0
Gabon,187,0.9979,0.957,0.4236,-0.121,2.292,0.3274,2.413,0.4244914320072151,Central Africa,0.2948282359034277,Low,1,Gabon,0.4240664731204324,0,-0.0739260995183713,1.0,0.4067913843810601,2025-08-03T19:02:30.646628,Low,0,0
Cameroon,187,0.9795,0.988,0.4978,-0.296,2.299,0.0129,2.595,0.5082184788157224,Central Africa,0.3227207360871602,Low,1,Cameroon,0.5077001529831718,0,-0.0359922104197354,1.0,0.3628069463320889,2025-08-03T19:02:30.646628,Low,0,0
Mozambique,187,0.967,1.014,0.5182,-0.647,2.529,-0.1279,3.176,0.5358841778697001,Southern Africa,0.3460333714281794,Low,1,Mozambique,0.5353305785123967,0,-0.0230319385479893,1.1,0.3511375820943826,2025-08-03T19:02:30.646628,Low,0,0
Chad,187,0.9622,0.954,0.8674,-1.924,3.433,-0.182,5.356999999999999,0.9014757846601535,Central Africa,0.5592707198537786,Moderate,4,Chad,0.9005398671096344,1,0.0528561113109457,1.0,0.4592512896012742,2025-08-03T19:02:30.646628,Moderate,0,0
Comoros,187,0.9564,0.953,0.458,-0.013,2.123,0.0883,2.136,0.4788791300710999,East Africa,0.2808358879310953,Low,1,Comoros,0.4783789429705452,0,0.017180914478423,1.1,0.3253019041208912,2025-08-03T19:02:30.646628,Low,0,0
Mayotte,187,0.9529,0.958,0.432,-0.022,2.086,0.126,2.108,0.4533529226571519,Other/Islands,0.2680739386054261,Low,1,Mayotte,0.4528776601320893,0,-0.0881520077681367,1.0,0.4165185932923532,2025-08-03T19:02:30.646628,Low,0,0
Sierra Leone,187,0.9478,0.994,0.4524,-0.685,2.247,-0.3133,2.932,0.4773158894281494,West Africa,0.3031703189477929,Low,1,Sierra Leone,0.4768128161888701,0,0.0162041984697397,1.2,0.3306948396416511,2025-08-03T19:02:30.646628,Low,0,0
Réunion,136,0.9451,0.9415,0.4335,-0.004,2.217,0.307,2.221,0.4586816209924875,Other/Islands,0.2693357059078777,Low,1,Réunion,0.4581968079484198,0,-0.0192541140208158,1.0,0.3120789333472927,2025-08-03T19:02:30.646628,Low,0,0
Equatorial Guinea,187,0.9288,0.844,0.4356,-0.121,2.075,0.291,2.196,0.4689922480620155,Central Africa,0.2623034324955782,Low,1,Equatorial Guinea,0.4684878468487847,0,-0.0338461000152979,1.0,0.3368418490241769,2025-08-03T19:02:30.646628,Low,0,0
Seychelles,187,0.9106,0.923,0.3498,-0.044,1.755,-0.0415,1.799,0.3841423237425873,East Africa,0.2065418092852622,Low,1,Seychelles,0.3837209302325581,0,0.0305838144420433,1.1,0.3191242524623725,2025-08-03T19:02:30.646628,Low,0,0
Madagascar,187,0.8994,0.914,0.4457,-0.191,2.286,0.1328,2.477,0.4955525906159662,East Africa,0.2636766558303848,Low,1,Madagascar,0.4950022212350066,0,0.0515499761247975,1.1,0.373394036349609,2025-08-03T19:02:30.646628,Low,0,0
Zimbabwe,187,0.7605,0.745,0.7309,-1.026,2.973,0.3595,3.999,0.961078238001315,Southern Africa,0.3708759225583276,Low,3,Zimbabwe,0.959816152330926,0,0.0465640059558099,1.1,0.3960362527690665,2025-08-03T19:02:30.646628,Low,0,0
Central African Republic,187,0.7604,0.741,0.6157,-1.692,2.527,-0.1793,4.219,0.809705418200947,Central Africa,0.3331249345819441,Low,3,Central African Republic,0.808641975308642,0,-0.0419608761611319,1.0,0.3566137420779377,2025-08-03T19:02:30.646628,Low,0,0
Namibia,187,0.7289,0.785,0.9636,-1.673,3.704,-0.0995,5.377000000000001,1.3219920428042256,Southern Africa,0.4981462423759688,Moderate,3,Namibia,1.3201808466913276,1,-0.0154606187925607,1.1,0.373281386168323,2025-08-03T19:02:30.646628,Moderate,0,0
Mauritius,187,0.6795,0.655,0.3813,-0.251,1.568,0.1618,1.819,0.5611479028697571,East Africa,0.1207991378549842,Very Low,1,Mauritius,0.5603232916972813,0,0.0165631715701781,1.1,0.25700220739273,2025-08-03T19:02:30.646628,Very Low,0,0
French Southern Territories,187,0.4693,0.453,0.6207,-2.075,1.99,-0.3375,4.065,1.322608139782655,Other/Islands,0.2050671209260016,Low,3,French Southern Territories,1.319795874973421,0,0.0487772563561179,1.0,0.3098515520969979,2025-08-03T19:02:30.646628,Low,0,0
Ethiopia PDR,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other/Islands,0.0,Very Low,0,Ethiopia PDR,Unknown,0,-0.0239587118922645,1.0,Unknown,2025-08-03T19:02:30.646628,Unknown,0,0
